"VENDOR","UNITS","SHARE"
"Lenovo","1293.532261","5.771319985102148"
"Acer","1502.421083","6.703313928678825"
"Dell","11455.09902","51.108923912219325"
"Apple","266.7584542","1.1901894095236765"
"Hewlett-Packard","4205.018526","18.76142419367813"
"Fujitsu Siemens","2499.507088","11.151987194139933"
"ASUS","1190.772949","5.312841376657958"
"Total","22413.1093812","100.0"
