"VENDOR","UNITS","SHARE"
"Acer","9570.718105","25.387710871272816"
"Lenovo","4343.112732","11.520733252372786"
"Dell","8267.033639","21.929499697663317"
"Apple","218.2171404","0.5788524546279222"
"Hewlett-Packard","11050.90046","29.314108164895718"
"Fujitsu Siemens","2924.742632","7.758301884924387"
"ASUS","1323.507139","3.510793674243055"
"Total","37698.2318474","100.0"
